"filename", "language", "CSS", "JavaScript", "PHP", "XML", "comment", "blank", "total"
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\html\products_nav.php", "PHP", 0, 0, -23, 0, -6, -2, -31
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\html\search_bar.php", "PHP", 0, 0, -22, 0, -1, -2, -25
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\html\search_page.php", "PHP", 0, 0, -89, 0, -3, -8, -100
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\html\validate_product.php", "PHP", 0, 0, -64, 0, -30, -9, -103
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\html\validate_update.php", "PHP", 0, 0, -37, 0, -13, -7, -57
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\index_post.php", "PHP", 0, 0, -44, 0, -3, -2, -49
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\script\create_account_validation.js", "JavaScript", 0, -226, 0, 0, -93, -39, -358
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\script\create_product_validation.js", "JavaScript", 0, -79, 0, 0, -18, -11, -108
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\script\file.js", "JavaScript", 0, -12, 0, 0, -1, -1, -14
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\script\update_account_validation.js", "JavaScript", 0, -153, 0, 0, -100, -28, -281
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\style\account_style.css", "CSS", -80, 0, 0, 0, -5, -14, -99
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\style\admin_products.css", "CSS", -70, 0, 0, 0, -4, -16, -90
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\style\basket_style.css", "CSS", -44, 0, 0, 0, -2, -10, -56
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\style\create_account.css", "CSS", 0, 0, 0, 0, 0, -1, -1
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\style\delete_account_style.css", "CSS", 0, 0, 0, 0, 0, -1, -1
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\style\display_product_style.css", "CSS", -73, 0, 0, 0, -1, -13, -87
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\style\footer.css", "CSS", -43, 0, 0, 0, 0, -6, -49
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\style\guitar_style.css", "CSS", -28, 0, 0, 0, -2, -7, -37
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\style\header.css", "CSS", -118, 0, 0, 0, -13, -22, -153
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\style\home_style.css", "CSS", -37, 0, 0, 0, -3, -9, -49
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\style\logged-in_style.css", "CSS", 0, 0, 0, 0, 0, -1, -1
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\style\products_nav_style.css", "CSS", -29, 0, 0, 0, 0, -5, -34
"c:\Users\jjmor\OneDrive - Bournemouth University\Web programming\web_programming(3)\style\products_style.css", "CSS", -70, 0, 0, 0, -4, -18, -92
"Total", "-", 144, 4, 164, 0, 12, 38, 362
